Station,Latitude,Longitude
COV,39.75,-123.21
KMDZ,45.1,-90.3
KBFD,41.8,-78.62
KFSD,43.58,-96.73
KOLF,48.1,-105.58
KDAN,36.57,-79.33
B,46.1,-131.00
OPP4,45.3,-125.6
KMDW,41.78,-87.75
KMMU,40.8,-74.42
KLEE,28.82,-81.81
KARA,30.03,-91.88
KCDS,34.43,-100.28
DVN,41.61,-90.57
FPK,48.31,-105.1
KVEL,40.43,-109.52
KEYW,24.55,-81.75
KJVL,42.62,-89.04
KLEX,38.03,-84.6
OPP1,48.1,-130.5
KMHR,38.55,-121.3
KGNV,29.68,-82.27
KWWR,36.43,-99.53
G,28.4,-98.7
KHXD,32.22,-80.7
KSFM,43.4,-70.72
P,32.41,-106.35
KPGV,35.64,-77.39
KPPO,41.57,-86.73
KSYR,43.12,-76.12
KBHM,33.57,-86.75
KMRB,39.4,-77.98
KMHT,42.93,-71.43
KSAC,38.52,-121.5
CPRF,38.29,-111.26
KOSH,43.98,-88.55
KMSS,44.93,-74.85
KGPI,48.3,-114.27
KCEZ,37.3,-108.67
KMGC,41.7,-86.82
KIWD,46.53,-90.13
CWH,43.31,-109.19
KACY,39.45,-74.57
NCY,34.94,-119.69
KBVY,42.58,-70.92
SDNW,44.41,-104.36
KMWH,47.2,-119.32
ODX,41.62,-98.95
KHKY,35.73,-81.37
KILM,34.27,-77.9
KRAD,48.93,-95.33
CYMT,49.77,-74.53
KCMX,47.17,-88.5
FRP2,32.28,-80.41
KBBG,36.54,-93.2
ALTA,40.58,-111.63
CWMW,46.38,-75.97
CYHZ,44.88,-63.5
KHIO,45.53,-122.95
KFTK,37.91,-85.97
KPBI,26.68,-80.12
CYPL,51.45,-90.2
KGCC,44.35,-105.53
LM3,42.14,-87.66
KCXO,30.36,-95.41
OPA6,35.6,-73.8
WCK,40.94,-123.63
KCAR,46.87,-68.01
KVQQ,30.22,-81.88
KGTF,47.48,-111.37
KGVL,34.27,-83.83
KAND,34.5,-82.72
OAX,41.32,-96.37
MUCM,21.42,-77.85
B43,30.43,-104.33
KVRB,27.65,-80.42
OPP3,45.3,-129.7
KYKN,42.92,-97.38
SRK,35.21,-100.25
KSVE,40.38,-120.57
KZZV,39.95,-81.9
7R5,29.78,-93.3
KTUS,32.12,-110.93
KMSP,44.88,-93.22
KAFF,38.97,-104.82
KLCH,30.12,-93.22
WGTW,43.74,-105.74
KAVP,41.33,-75.73
IJD,41.73,-72.18
KSBD,34.1,-117.23
KEFK,44.89,-72.23
KDHN,31.32,-85.45
G,25.9,-95.3
4BL,37.62,-109.47
KELO,47.82,-91.83
KAFK,40.61,-95.87
FLG,35.23,-111.82
UIL,47.95,-124.55
KDUB,43.55,-109.69
KSDA,40.75,-95.41
PUB,38.46,-104.18
COL4,45.72,-120.21
KCLT,35.22,-80.93
TNB,36.2,-81.65
KEEO,40.05,-107.89
KBLF,37.3,-81.19
KIND,39.73,-86.27
B44,28.39,-100.29
KFLL,26.07,-80.15
OGS,44.68,-75.47
KMCE,37.28,-120.52
KLNR,43.21,-90.18
KMTO,39.48,-88.28
P,36.69,-97.48
KISQ,45.97,-86.17
B,36.6,-74.8
KALI,27.73,-98.03
KRDG,40.38,-75.97
C13,37.1,-92.3
FBIS,32.69,-79.89
BDG,38.3,-119.16
ONP,44.58,-124.06
KINW,35.02,-110.73
ABL,34.1,-86.1
C25,40.8,-84.2
FLK,45.03,-99.11
KUNV,40.84,-77.85
VANC,45.56,-67.43
KUES,43.04,-88.24
P,37.65,-99.09
G005,46.9,-121.3
PWD,48.76,-104.52
K33V,40.73,-106.28
APPL,42.99,-70.62
XRW,36.74,-87.29
KOLU,41.45,-97.34
P,34.09,-88.86
AQQ,29.73,-84.98
CYWG,49.9,-97.23
KTUL,36.2,-95.9
KIPT,41.25,-76.92
KLBL,37.04,-100.97
B41,31.49,-110.3
NTD,34.12,-119.12
MSM1,43.78,-68.86
SBL,43.8,-83.72
KBIH,37.37,-118.37
KIAG,43.1,-78.94
KEWB,41.68,-70.97
CHTS,32.78,-79.92
B,40.4,-124.5
MLD,42.17,-112.28
KOAK,37.73,-122.22
KCSV,35.95,-85.08
KPLN,45.57,-84.8
KSLE,44.92,-123.00
KY22,45.93,-102.17
KSQI,41.74,-89.68
KIXD,38.83,-94.89
KEYX,35.1,-117.56
LISO,41.1,-72.89
WRD,34.36,-117.63
KPRC,34.65,-112.42
KPGA,36.93,-111.45
1V4,44.42,-72.02
KDNV,40.12,-87.6
KLBF,41.13,-100.68
KDFW,32.9,-97.03
K4MB,39.05,-105.51
XMR,28.47,-80.55
GSL,44.02,-83.54
MYEG,23.5,-75.76
95E,33.82,-106.65
K8K2,37.28,-98.04
2I0,37.36,-87.4
WSC,44.1,-93.5
KFNT,42.97,-83.75
9F2,29.1,-90.2
KLND,42.82,-108.73
WRB,32.68,-83.35
P,42.21,-97.79
KPIA,40.66,-89.68
B,37.76,-75.33
KAMA,35.23,-101.7
KMRJ,42.89,-90.24
GVY,39.17,-121.11
RHI,45.63,-89.47
KFKL,41.38,-79.87
KCIC,39.69,-121.91
KY50,44.04,-89.31
KTVK,40.68,-92.9
KIOB,38.06,-83.98
TBW,27.7,-82.38
RVD,47.31,-121.85
KBNA,36.13,-86.68
KGSB,35.33,-77.97
MRP,48.32,-113.35
PFD,36.83,-119.33
KCGI,37.23,-89.57
G,23.7,-88.7
KMOP,43.37,-84.44
KHON,44.38,-98.22
KHUL,46.12,-67.8
OKX,40.87,-72.86
KBRD,46.4,-94.13
G007,44.1,-120.5
B,27.00,-96.5
4OM,48.42,-119.53
GVH,31.71,-87.78
KPIE,27.92,-82.68
KDEC,39.83,-88.87
KAQP,45.23,-96.00
LED,44.35,-103.77
N60,47.65,-101.43
GTB,44.05,-75.73
RUT,43.53,-72.95
KAFJ,40.14,-80.29
KGLH,33.48,-90.98
MPX,44.85,-93.57
MTSL,39.3,-111.46
TNS,44.03,-107.45
KDZJ,34.85,-84.00
KGAG,36.3,-99.77
OPPA,34.6,-122.3
CLD,35.2,-84.8
KMOT,48.27,-101.28
B,40.3,-73.2
KCTB,48.6,-112.37
KSAT,29.53,-98.47
KGGW,48.22,-106.62
KCEF,42.2,-72.53
K13K,37.85,-96.29
KDTW,42.23,-83.33
3CK,42.21,-88.32
KBIS,46.77,-100.75
KIKK,41.07,-87.85
NKX,32.85,-117.12
E74,32.82,-109.68
B46,28.71,-95.96
BKY,34.89,-91.2
PHP,44.05,-101.6
S,28.5,-92.3
KEVV,38.05,-87.53
BPK,36.22,-92.28
KAY1,40.25,-94.33
KGFK,47.95,-97.18
KBZN,45.78,-111.15
KMSL,34.75,-87.62
LE3,42.74,-79.35
BH4,43.35,-104.69
MMTC,25.53,-103.45
K06D,48.88,-99.62
KJAN,32.32,-90.08
KDMN,32.27,-107.72
KPQI,46.68,-68.05
KUNO,36.88,-91.9
KWJF,34.73,-118.22
KMLC,34.88,-95.78
LE2,42.47,-81.22
KBJI,47.5,-94.93
KPSC,46.27,-119.12
GTP,43.9,-110.00
VBG,34.75,-120.57
KGCN,35.95,-112.15
K3MW,40.45,-106.75
P,34.98,-97.52
KPSM,43.08,-70.82
OPP2,48.1,-126.6
KLMT,42.15,-121.73
3J2,31.00,-79.00
KTPH,38.05,-117.08
MUMO,20.65,-74.92
LGVS,43.46,-101.5
K2WX,45.59,-103.55
KMBS,43.53,-84.08
KUCA,43.15,-75.37
B,38.5,-74.7
CYCX,45.83,-66.43
KAGC,40.34,-79.93
SAT,29.7,-98.01
KCLL,30.58,-96.37
MCGL,45.5,-73.57
SOA,30.59,-100.65
KELD,33.22,-92.8
KOGB,33.46,-80.85
KJLN,37.15,-94.5
TUL,36.18,-95.56
C34,35.5,-97.00
KUTS,30.73,-95.47
JPB,44.3,-67.3
KIAH,29.97,-95.35
GNC,34.25,-89.87
SPA,41.05,-74.63
CLE,41.5,-81.6
KSBS,40.51,-106.87
BOD,38.32,-123.07
KMTN,39.33,-76.42
KDAY,39.9,-84.2
COL1,45.68,-121.27
U,31.9,-81.63
KCRW,38.37,-81.6
KCSM,35.33,-99.2
KMKC,39.12,-94.6
KSAV,32.13,-81.19
KSBM,43.78,-87.85
CWZV,51.93,-131.02
CYXH,50.02,-110.72
CLN,31.71,-89.41
KALB,42.75,-73.8
KFYV,36.00,-94.17
KPSO,37.29,-107.06
KDAB,29.18,-81.05
KAGS,33.37,-81.97
KSMX,34.9,-120.45
KRIW,43.07,-108.47
NID,35.68,-117.68
KLKN,40.87,-115.73
LVM,45.7,-110.45
G009,42.7,-121.4
KDCA,38.84,-77.03
KYKM,46.57,-120.53
KBMI,40.48,-88.92
KIRS,41.81,-85.44
KDFI,41.34,-84.43
C08,37.4,-105.2
KCDC,37.7,-113.1
KFMY,26.58,-81.87
LM2,42.67,-87.02
KAOO,40.3,-78.32
KABR,45.45,-98.43
OPA1,42.35,-67.7
CYPQ,44.23,-78.37
KFOE,38.95,-95.67
KNEW,30.05,-90.03
KOTM,41.1,-92.45
KLCI,43.57,-71.42
KONT,34.05,-117.6
KDLL,43.52,-89.77
ILS,28.88,-118.3
KBNO,43.58,-118.95
KSMF,38.7,-121.58
